BB,0.0005,1,1,1,1
BT,0.0001,1,1,1,1
CC,0.0007,1,1,1,1
CH,0.0045,0.64,0.069,0.3545,3
CK,0.0026,1,1,1,1
CQ,0.00002,1,1,1,1
CS,0.0002,1,1,1,1
CT,0.00001,1,1,1,1
CZ,0.000009,1,1,1,1
DD,0.0006,1,1,1,1
DG,0.0004,1,1,1,1
DJ,0.0001,1,1,1,1
FF,0.0016,1,1,1,1
FT,0.00002,1,1,1,1
GG,0.0006,0.971,0.028,0.4995,2
GH,0.0001,0.555,0.444,0.4995,2
GM,0.00007,1,1,1,1
GN,0.0002,1,1,1,1
KH,0.00002,1,1,1,1
KN,0.0003,1,1,1,1
LD,0.00005,1,1,1,1
LF,0.000008,1,1,1,1
LK,0.0001,1,1,1,1
LL,0.0045,1,1,1,1
LM,0.0001,1,1,1,1
LV,0.00003,1,1,1,1
MB,0.0002,1,1,1,1
MM,0.0012,1,1,1,1
MN,0.00007,0.875,0.125,0.5,2
NG,0.0033,1,1,1,1
NN,0.071,1,1,1,1
PB,0.000009,1,1,1,1
PH,0.0022,1,1,1,1
PN,0.00002,1,1,1,1
PP,0.0014,1,1,1,1
PS,0.0001,1,1,1,1
PT,0.00001,1,1,1,1
RH,0.0001,1,1,1,1
RR,0.0019,1,1,1,1
SC,0.0008,0.865,0.033,0.449,4
SH,0.0036,1,1,1,1
SL,0.00004,1,1,1,1
SS,0.0042,0.952,0.019,0.4855,3
ST,0.0003,1,1,1,1
SW,0.00003,1,1,1,1
TG,0.000009,1,1,1,1
TH,0.0051,0.732,0.001,0.449,3
TT,0.0019,1,1,1,1
TW,0.00002,1,1,1,1
WH,0.0009,0.847,0.152,0.449,2
WR,0.0004,1,1,1,1