AE,0.00005,0.833,0.166,0.4995,2
AH,0.00003,1,1,1,1
AI,0.0026,0.734,0.003,0.3685,5
AO,0.00001,1,1,1,1
AU,0.0014,0.948,0.006,0.477,4
AW,0.0006,1,1,1,1
AY,0.0012,0.97,0.007,0.4885,3
EA,0.0047,0.576,0.005,0.2905,6
EE,0.0026,0.979,0.02,0.4995,2
EI,0.0005,0.315,0.035,0.175,6
EO,0.0001,0.666,0.133,0.3995,3
ET,0.00008,1,1,1,1
EU,0.0003,0.717,0.025,0.371,4
EW,0.0005,0.603,0.047,0.325,3
EY,0.0005,0.741,0.016,0.3785,4
IA,0.00001,1,1,1,1
IE,0.0011,0.492,0.031,0.2615,5
OA,0.0012,0.933,0.066,0.4995,2
OE,0.0002,0.59,0.181,0.3855,3
OH,0.00003,1,1,1,1
OI,0.0008,1,1,1,1
OO ,0.0027,0.57,0.023,0.2965,4
OU,0.0064,0.48,0.001,0.2405,8
OW,0.0022,0.502,0.016,0.259,3
OY,0.0004,0.972,0.02,0.496,2
UE,0.0003,0.627,0.372,0.4995,2
UI,0.0002,0.533,0.2,0.3665,3
UO,0.00001,1,1,1,1
UY,0.00002,1,1,1,1